ASSET REGISTRY TEMPLATE  ,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP V193 LED BACKLIT MONITOR              ,3CQ6092N9M,,CISSL-ICT-2016-070,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP V193 LED BACKLIT MONITOR              ,3CQ6092N93,,CISSL-ICT-2016-071,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y17127,,CISSL-ICT-2016-072,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y200IQ,,CISSL-ICT-2016-073,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y170MO,,CISSL-ICT-2016-074,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y170IE,,CISSL-ICT-2016-075,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y9U2M9,,CISSL-ICT-2016-076,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y170ML,,CISSL-ICT-2016-077,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB KEYBOARD,BDMDR0D5Y170G6,,CISSL-ICT-2016-078,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
DO,Marikina City,Other Property Plant and Equipment,Other Property Plant and Equipment,#N/A,DESKTOP COMPUTER (HOST PC),HP,HP USB MOUSE,FCMHF0AHD9Q39M,,CISSL-ICT-2016-079,UNIT,Operational and in good condition,DepED Central Office,"29,020.00",10-Nov-16,3yrs.,Mita A. Abergos,Concepcion Integrated School - SL,ICT Laboratory,Candazo 303,,Camille Karen G. Bernabe
