ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Unit of Measure,Property Number,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Furniture Fixtures and Books,Furniture and Fixtures,1060701000,Stainless Sink,NA,2017,NA,Stainless  Sink,Unit,SHS-BPP17-11,Operational and in Good Condition,DepED Central Office," 24,800.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Furniture Fixtures and Books,Furniture and Fixtures,1060701000,Bread Display,NA,2017,NA,Bread Display Showcase,Unit,SHS-BPP17-12,Operational and in Good Condition,DepED Central Office," 25,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,Transfer to bakery,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Food Processor,NA,2017,NA,Food Processor,Unit,SHS-BPP17-13,Operational and in Good Condition,DepED Central Office," 21,500.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigirator,NA,2017,NA,Refrigirator Fujidenzo,Unit,SHS-BPP17-16,Operational and in good condition,DepED Central Office," 15,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigirator,NA,2017,NA,Refrigerator Fujidenzo,Unit,SHS-BPP17-17,Operational and in good condition,DepED Central Office," 15,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,,Girlie Cao
,,,,,,,,,,,,,,,,,,,,,,
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Bench Chain Vice BC,Hans Infinite tools,2017,NA,Bench Chain Vice BC 810-1 1/4,Unit,SHS-PLBG001-1,Operational and in Good Condition,Donated by Other Entity," 36,036.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Pipe Bender,Hans Infinite tools,2017,NA,Hydraulic Pipe Bender,Unit,SHS-PLBG001-2,Operational and in Good Condition,Donated by Other Entity," 31,000.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Circular Saw Portable,Hans Infinite tools,2017,NA,Circular Saw Portable Big 5103 M,Unit,SHS-PLBG001-3,Operational and in Good Condition,Donated by Other Entity," 26,550.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Belt Disc Sander,Hans Infinite tools,2017,NA,"JE Belt Disc Sander RBDS 69-A 9""",Unit,SHS-PLBG001-4,Operational and in Good Condition,Donated by Other Entity," 19,000.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Tablet,Columbia Technologies,2019,NA,LOT#3 E-Textbooks SO#19-PC0009 SWPS#175102 (Tablet),Set,SHS-ICT19-02,Operational and in good condition,DepED Central Office," 716,313.00 ",10/30/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,For Installation,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer Set,NA,2016,NA,Batch 33 (1 set),Set,SHS-ICT16-01,Operational and in good condition,DepED Central Office," 782,288.00 ",7/13/2016,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
