ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Freezer,Panasonic,,63681,,,,Operational and in good condition,Donated by LGU," 23,900.00 ",,3,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Spiral Mixer,,,63506,for dough,,,Operational and in good condition,Donated by LGU," 34,500.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Spiral Mixer,,,63507,for dough,,,Operational and in good condition,Donated by LGU," 34,500.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Dough Roller,,,,heavy duty,,,Operational and in good condition,Donated by LGU," 27,600.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Stove,,,63726,with oven,,,Operational and in good condition,Donated by LGU," 18,500.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Furniture Fixtures and Books,Furniture and Fixtures,1060701000,Bread Display Showcase,,,,Curved,,,Operational and in good condition,Donated by LGU," 42,000.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Stationary Oven,,,,heavy duty,,,Operational and in good condition,Donated by LGU," 24,000.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Kitchen Trolley,,,63590,,,,Operational and in good condition,Donated by LGU," 17,500.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Refrigerator,Fujidenzo,,63674,7 cu. Ft,,,Operational and in good condition,Donated by LGU," 16,750.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Refrigerator,Fujidenzo,,63678,7 cu. Ft,,,Operational and in good condition,Donated by LGU," 16,750.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Gas Range,Fujidenzo,,63653,,,,Operational and in good condition,Donated by LGU," 18,500.00 ",,,Jeanette J. Coroza,BPP Laboratory,SHS TVL-BPP,208,,
