ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Tablet,Columbia Technologies,2019,NA,LOT#3 E-Textbooks SO#19-PC0009 SWPS#175102 (Tablet),NHS-ICT-2019-001,Set,Operational and in good condition,DepED Central Office," 716,313.00 ",10/30/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,For Installation,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer Set,NA,2016,NA,Batch 33 (1 set),NHS-ICT-2016-001,Set,Operational and in good condition,DepED Central Office," 782,288.00 ",7/13/2016,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charger for Tablet,Columbia Technologies,2019,NA,Charging/Storage Cart with master key and duplicate,NHS-ICT-2019-003,Unit,Operational and in good condition,DepED Central Office," 27,950.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charger for Tablet,Columbia Technologies,2019,NA,Charging/Storage Cart with master key and duplicate,NHS-ICT-2019-004,Unit,Operational and in good condition,DepED Central Office," 27,950.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Laptop,Columbia Technologies,2019,NA,Acer Travelmate P2410-G2-M,NHS-ICT-2019-005,Unit,Operational and in good condition,DepED Central Office," 34,120.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
