ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Unit of Measure,Property Number,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Food Processor,NA,2017,NA,Food Processor,Unit,NHS-BPP-1713,Operational and in Good Condition,DepED Central Office," 21,500.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigirator,NA,2017,NA,Refrigirator Fujidenzo,Unit,NHS-BPP-1716,Operational and in good condition,DepED Central Office," 15,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigirator,NA,2017,NA,Refrigerator Fujidenzo,Unit,NHS-BPP-1717,Operational and in good condition,DepED Central Office," 15,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,,Girlie Cao
,,,,,,,,,,,,,,,,,,,,,,
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Bench Chain Vice BC,Hans Infinite tools,2017,17056,Bench Chain Vice BC 810-1 1/4,Unit,NHS-PLBG-1701,Operational and in Good Condition,Donated by Other Entity," 36,036.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Pipe Bender,Hans Infinite tools,2017,17057,Hydraulic Pipe Bender,Unit,NHS-PLBG-1702,Operational and in Good Condition,Donated by Other Entity," 31,000.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Circular Saw Portable,Hans Infinite tools,2017,17058,Circular Saw Portable Big 5103 M,Unit,NHS-PLBG-1703,Operational and in Good Condition,Donated by Other Entity," 26,550.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Belt Disc Sander,Hans Infinite tools,2017,17059,"JE Belt Disc Sander RBDS 69-A 9""",Unit,NHS-PLBG-1704,Operational and in Good Condition,Donated by Other Entity," 19,000.00 ",1/24/2019,10,Hadji M. Tejada,MCF bldg,Plumbing room,317,Plumbing SHS,Nestor Acosta
,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Tablet,Columbia Technologies,2019,NA,LOT#3 E-Textbooks SO#19-PC0009 SWPS#175102 (Tablet),Set,NHS-ICT-2019-001,Operational and in good condition,DepED Central Office," 716,313.00 ",10/30/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,For Installation,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer Set,NA,2016,NA,Batch 33 (1 set),Set,NHS-ICT-2016-001,Operational and in good condition,DepED Central Office," 782,288.00 ",7/13/2016,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charger for Tablet,Columbia Technologies,2019,NA,Charging/Storage Cart with master key and duplicate,Unit,NHS-ICT-2019-003,Operational and in good condition,DepED Central Office," 27,950.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charger for Tablet,Columbia Technologies,2019,NA,Charging/Storage Cart with master key and duplicate,Unit,NHS-ICT-2019-004,Operational and in good condition,DepED Central Office," 27,950.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Laptop,Columbia Technologies,2019,NA,Acer Travelmate P2410-G2-M,Unit,NHS-ICT-2019-005,Operational and in good condition,DepED Central Office," 34,120.00 ",10/4/2019,5,Hadji M. Tejada,MCF bldg,SHS - ICT Lab,312,SHS - ICT,Aaron Enano
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,#N/A,,,,,,,,,,,,,,,,,,
